Dataset Name,Image File,Image Name
Figure02,Embryo02.mCherry.Cam_Right_00329.tif,Embryo02.pattern
Figure02,Embryo03.mCherry.Cam_Right_00145.tif,Embryo03.pattern
Figure01A,Embryo12.mCherry.Cam_Right_00211.tif,Embryo12.pattern
Figure01A,Embryo5.EGFP.Cam_Right_00092.tif,Embryo5.pattern
Figure02,Embryo04.iRFP.Cam_Right_00222.tif,Embryo04.pattern
Figure03,Embryo05.Position_0.stack_0.EGFP.Cam_Right_00020.tif,Embryo05.pattern
SupplementaryFigure10B,Untreated.8_Cell.22.tif,Untreated.8_Cell.pattern
SupplementaryFigure01,Embryo5.EGFP.000032_00.tif,Embryo5.pattern
SupplementaryFigure01,Embryo13.mCherry.000008_00.tif,Embryo13.pattern
Figure04,Untreated.Cell20.Position_0.stack_0.iRFP.Cam_Right_00340.tif,Untreated.Cell20.pattern
Figure02,Embryo05.mCherry.Cam_Right_00187.tif,Embryo05.pattern
Figure01A,Embryo5.mCherry.Cam_Right_00170.tif,Embryo5.pattern
SupplementaryFigure08,NocMo.Washout.Embryo1.mCherry.Cam_Right_00147.tif,NocMo.Washout.Embryo1.pattern
SupplementaryFigure09,Untreated.2_Cell.09.tif,Untreated.2_Cell.pattern
Figure02,Embryo10.EGFP.Cam_Right_00239.tif,Embryo10.pattern
Figure02,Embryo02.EGFP.Cam_Right_00330.tif,Embryo02.pattern
SupplementaryFigure08,NocMo.Nocodazole.Embryo2.iRFP.Cam_Right_00035.tif,NocMo.Nocodazole.Embryo2.pattern
Figure02,Embryo12.iRFP.Cam_Right_00079.tif,Embryo12.pattern
SupplementaryFigure01,Embryo5.mCherry.000058_00.tif,Embryo5.pattern
SupplementaryFigure05,Metaphase1.Cam_Right_00000 (16)-Enhancement Filter 2_T027_Z004_C01.tif,Metaphase1.pattern
SupplementaryFigure01,Embryo7.EGFP.000017_00.tif,Embryo7.pattern
SupplementaryFigure08,MoNoc.Washout.Embryo1.iRFP.Cam_Right_00088.tif,MoNoc.Washout.Embryo1.pattern
SupplementaryFigure08,NocMo.Washout.Embryo3.iRFP.Cam_Right_00041.tif,NocMo.Washout.Embryo3.pattern
SupplementaryFigure08,NocMo.Washout.Embryo1.iRFP.Cam_Right_00172.tif,NocMo.Washout.Embryo1.pattern
SupplementaryFigure01,Embryo8.EGFP.000003_00.tif,Embryo8.pattern
Figure02,Embryo07.mCherry.Cam_Right_00094.tif,Embryo07.pattern
Figure01A,Embryo11.EGFP.Cam_Right_00127.tif,Embryo11.pattern
Figure03,Embryo07.Position_0.stack_0.mCherry.Cam_Right_00055.tif,Embryo07.pattern
Figure01A,Embryo3.mCherry.Cam_Right_00139.tif,Embryo3.pattern
SupplementaryFigure08,NocMo.Washout.Embryo2.mCherry.Cam_Right_00051.tif,NocMo.Washout.Embryo2.pattern
SupplementaryFigure08,MoNoc.Monastrol.Embryo1.mCherry.Cam_Right_00004.tif,MoNoc.Monastrol.Embryo1.pattern
SupplementaryFigure08,NocMo.Nocodazole.Embryo3.EGFP.Cam_Right_00032.tif,NocMo.Nocodazole.Embryo3.pattern
Figure02,Embryo05.mCherry.Cam_Right_00275.tif,Embryo05.pattern
Figure02,Embryo03.iRFP.Cam_Right_00249.tif,Embryo03.pattern
Figure02,Embryo10.iRFP.Cam_Right_00039.tif,Embryo10.pattern
Figure03,Embryo03.Position_0.stack_0.mCherry.Cam_Right_00051.tif,Embryo03.pattern
SupplementaryFigure08,MoNoc.Washout.Embryo3.EGFP.Cam_Right_00110.tif,MoNoc.Washout.Embryo3.pattern
Figure02,Embryo11.mCherry.Cam_Right_00178.tif,Embryo11.pattern
Figure02,Embryo11.mCherry.Cam_Right_00007.tif,Embryo11.pattern
Figure03,Embryo05.Position_0.stack_0.EGFP.Cam_Right_00067.tif,Embryo05.pattern
Figure03,Embryo04.Position_0.stack_0.mCherry.Cam_Right_00070.tif,Embryo04.pattern
Figure02,Embryo05.iRFP.Cam_Right_00242.tif,Embryo05.pattern
SupplementaryFigure01,Embryo15.mCherry.000002_00.tif,Embryo15.pattern
Figure03,Embryo03.Position_0.stack_0.EGFP.Cam_Right_00083.tif,Embryo03.pattern
SupplementaryFigure08,NocMo.Nocodazole.Embryo3.mCherry.Cam_Right_00058.tif,NocMo.Nocodazole.Embryo3.pattern
SupplementaryFigure01,Embryo12.mCherry.000016_00.tif,Embryo12.pattern
Figure03,Embryo03.Position_0.stack_0.mCherry.Cam_Right_00186.tif,Embryo03.pattern
Figure01A,Embryo2.mCherry.Cam_Right_00136.tif,Embryo2.pattern
Figure02,Embryo12.mCherry.Cam_Right_00170.tif,Embryo12.pattern
SupplementaryFigure09,MoNoc.8_Cell.32.tif,MoNoc.8_Cell.pattern
SupplementaryFigure08,MoNoc.Monastrol.Embryo1.EGFP.Cam_Right_00021.tif,MoNoc.Monastrol.Embryo1.pattern
SupplementaryFigure01,Embryo13.mCherry.000013_00.tif,Embryo13.pattern
SupplementaryFigure08,NocMo.Washout.Embryo2.mCherry.Cam_Right_00015.tif,NocMo.Washout.Embryo2.pattern
Figure02,Embryo04.EGFP.Cam_Right_00246.tif,Embryo04.pattern
Figure02,Embryo04.mCherry.Cam_Right_00184.tif,Embryo04.pattern
Figure02,Embryo01.mCherry.Cam_Right_00326.tif,Embryo01.pattern
SupplementaryFigure01,Embryo10.iRFP.000057_00.tif,Embryo10.pattern
SupplementaryFigure08,NocMo.Washout.Embryo3.mCherry.Cam_Right_00054.tif,NocMo.Washout.Embryo3.pattern
Figure02,Embryo11.EGFP.Cam_Right_00124.tif,Embryo11.pattern
Figure01A,Embryo1.mCherry.Cam_Right_00181.tif,Embryo1.pattern
SupplementaryFigure01,Embryo8.mCherry.000044_00.tif,Embryo8.pattern
Figure03,Embryo06.Position_0.stack_0.mCherry.Cam_Right_00036.tif,Embryo06.pattern
SupplementaryFigure08,NocMo.Washout.Embryo1.mCherry.Cam_Right_00012.tif,NocMo.Washout.Embryo1.pattern
Figure02,Embryo09.iRFP.Cam_Right_00115.tif,Embryo09.pattern
Figure03,Embryo12.Position_0.stack_0.mCherry.Cam_Right_00048.tif,Embryo12.pattern
Figure02,Embryo04.mCherry.Cam_Right_00236.tif,Embryo04.pattern
Figure01A,Embryo8.mCherry.Cam_Right_00032.tif,Embryo8.pattern
Figure02,Embryo10.mCherry.Cam_Right_00139.tif,Embryo10.pattern
SupplementaryFigure01,Embryo11.iRFP.000043_00.tif,Embryo11.pattern
Figure03,Embryo18.Position_0.stack_0.EGFP.Cam_Right_00099.tif,Embryo18.pattern
Figure02,Embryo02.EGFP.Cam_Right_00242.tif,Embryo02.pattern
Figure03,Embryo03.Position_0.stack_0.EGFP.Cam_Right_00047.tif,Embryo03.pattern
SupplementaryFigure08,MoNoc.Monastrol.Embryo2.mCherry.Cam_Right_00007.tif,MoNoc.Monastrol.Embryo2.pattern
Figure02,Embryo08.mCherry.Cam_Right_00313.tif,Embryo08.pattern
SupplementaryFigure01,Embryo13.iRFP.000010_00.tif,Embryo13.pattern
Figure01A,Embryo3.EGFP.Cam_Right_00139.tif,Embryo3.pattern
Figure01A,Embryo6.mCherry.Cam_Right_00213.tif,Embryo6.pattern
SupplementaryFigure08,MoNoc.Washout.Embryo3.EGFP.Cam_Right_00069.tif,MoNoc.Washout.Embryo3.pattern
Figure01A,Embryo10.mCherry.Cam_Right_00088.tif,Embryo10.pattern
Figure01A,Embryo3.EGFP.Cam_Right_00052.tif,Embryo3.pattern
Figure01A,Embryo12.mCherry.Cam_Right_00123.tif,Embryo12.pattern
SupplementaryFigure08,NocMo.Washout.Embryo3.iRFP.Cam_Right_00176.tif,NocMo.Washout.Embryo3.pattern
SupplementaryFigure08,MoNoc.Monastrol.Embryo3.EGFP.Cam_Right_00025.tif,MoNoc.Monastrol.Embryo3.pattern
Figure02,Embryo12.iRFP.Cam_Right_00120.tif,Embryo12.pattern
Figure02,Embryo02.iRFP.Cam_Right_00130.tif,Embryo02.pattern
